Student B Actuator Log - 20250528_173722
Time	Filtered	Action	Latency(ms)
1748425049452.000	65.89	-89.20	0.03
1748425049468.000	61.95	-86.14	0.02
1748425049484.000	60.75	-85.33	0.02
1748425049500.000	61.02	-85.86	0.03
1748425049516.000	61.00	-85.91	0.03
1748425049532.000	67.73	-93.50	0.02
1748425049546.000	68.36	-93.71	0.02
1748425049561.000	69.03	-94.56	0.02
1748425049565.000	71.90	-97.88	0.02
1748425049578.000	68.06	-93.55	0.02
1748425049593.000	69.73	-95.96	0.02
1748425049609.000	73.83	-100.55	0.02
1748425049625.000	73.33	-99.82	0.02
1748425049641.000	69.27	-95.59	0.03
1748425049657.000	74.16	-101.62	0.02
1748425049672.000	64.90	-91.09	0.03
1748425049688.000	60.90	-87.73	0.03
1748425049703.000	62.34	-89.83	0.04
1748425049719.000	65.85	-93.72	0.03
1748425049734.000	67.04	-94.84	0.03
1748425049751.000	76.37	-105.25	0.02
1748425049767.000	77.82	-106.19	0.02
1748425049783.000	70.40	-98.09	0.02
1748425049799.000	74.05	-103.08	0.02
1748425049814.000	69.73	-98.17	0.03
1748425049830.000	65.29	-93.86	0.03
1748425049847.000	71.42	-101.27	0.02
1748425049864.000	72.94	-102.55	0.02
1748425049879.000	62.20	-90.71	0.02
1748425049895.000	57.93	-87.17	0.03
1748425049910.000	54.84	-84.24	0.04
1748425049926.000	49.41	-78.57	0.04
1748425049942.000	58.33	-89.02	0.03
1748425049958.000	57.70	-87.51	0.03
1748425049974.000	56.90	-86.76	0.03
1748425049990.000	58.17	-88.31	0.03
1748425050005.000	61.06	-91.47	0.02
1748425050021.000	58.80	-88.79	0.03
1748425050037.000	68.22	-99.55	0.03
1748425050053.000	72.22	-103.24	0.02
1748425050069.000	71.32	-102.06	0.02
1748425050084.000	66.50	-97.02	0.03
1748425050100.000	60.28	-90.76	0.02
1748425050116.000	63.74	-95.33	0.03
1748425050131.000	56.23	-86.78	0.03
1748425050147.000	55.92	-87.25	0.02
1748425050162.000	52.66	-83.72	0.02
1748425050178.000	60.00	-92.22	0.02
1748425050194.000	48.60	-78.93	0.02
1748425050210.000	49.56	-81.12	0.03
1748425050226.000	48.71	-80.08	0.04
1748425050241.000	56.06	-88.31	0.02
1748425050257.000	49.67	-80.54	0.03
1748425050273.000	57.59	-89.97	0.03
1748425050289.000	67.53	-100.29	0.02
1748425050305.000	73.87	-106.50	0.02
1748425050320.000	77.01	-109.60	0.02
1748425050336.000	74.41	-106.67	0.03
1748425050352.000	66.10	-97.95	0.03
1748425050357.000	66.77	-99.68	0.02
1748425050369.000	58.64	-90.76	0.03
1748425050385.000	58.65	-91.67	0.02
1748425050401.000	61.74	-95.18	0.03
1748425050417.000	65.45	-99.11	0.02
1748425050433.000	59.08	-91.82	0.02
1748425050449.000	68.54	-103.06	0.03
1748425050464.000	65.22	-98.61	0.03
1748425050481.000	71.08	-105.59	0.02
1748425050497.000	73.28	-107.66	0.03
1748425050512.000	68.58	-102.45	0.03
1748425050528.000	65.63	-99.84	0.02
1748425050544.000	64.15	-98.65	0.02
1748425050560.000	61.16	-95.62	0.02
1748425050563.000	63.02	-98.09	0.04
1748425050579.000	67.02	-102.48	0.02
1748425050595.000	63.32	-98.14	0.03
1748425050611.000	69.23	-105.20	0.03
1748425050626.000	73.04	-109.04	0.03
1748425050642.000	71.32	-106.97	0.03
1748425050657.000	67.57	-103.20	0.03
1748425050673.000	67.07	-103.20	0.02
1748425050688.000	55.22	-90.26	0.03
1748425050704.000	43.48	-78.47	0.03
1748425050719.000	46.74	-83.19	0.04
1748425050735.000	49.60	-86.01	0.02
1748425050751.000	51.40	-87.71	0.02
1748425050766.000	63.82	-101.34	0.03
1748425050782.000	77.26	-115.16	0.02
1748425050798.000	70.47	-106.55	0.03
1748425050814.000	71.51	-108.58	0.04
1748425050830.000	75.67	-113.31	0.02
1748425050846.000	62.27	-98.28	0.02
1748425050861.000	59.62	-96.80	0.02
1748425050879.000	68.70	-107.24	0.04
1748425050893.000	64.36	-101.70	0.03
1748425050923.000	65.51	-103.56	0.04
1748425050927.000	78.50	-118.02	0.03
1748425050944.000	67.93	-105.27	0.03
1748425050959.000	62.93	-100.95	0.03
1748425050975.000	62.77	-101.41	0.03
1748425050991.000	63.04	-101.85	0.04
1748425051007.000	62.80	-101.69	0.03
1748425051023.000	65.76	-105.13	0.03
1748425051039.000	62.98	-101.90	0.03
1748425051054.000	72.07	-112.40	0.02
1748425051070.000	62.85	-101.47	0.02
1748425051086.000	63.01	-102.70	0.02
1748425051102.000	67.92	-108.27	0.02
1748425051118.000	75.12	-115.94	0.02
1748425051134.000	78.16	-118.86	0.02
1748425051150.000	80.58	-121.52	0.02
1748425051165.000	81.27	-122.35	0.03
1748425051181.000	83.55	-125.12	0.02
1748425051197.000	78.61	-119.74	0.02
1748425051213.000	73.95	-115.35	0.03
1748425051228.000	76.33	-118.70	0.04
1748425051244.000	74.42	-116.61	0.02
1748425051260.000	68.74	-110.74	0.02
1748425051277.000	68.18	-110.87	0.06
1748425051292.000	72.73	-116.16	0.03
1748425051308.000	73.76	-117.07	0.02
1748425051323.000	63.40	-105.71	0.02
1748425051340.000	65.87	-109.62	0.03
1748425051356.000	68.84	-112.83	0.03
1748425051372.000	67.73	-111.48	0.03
1748425051388.000	73.22	-117.87	0.03
1748425051403.000	71.80	-115.97	0.02
1748425051419.000	74.60	-119.44	0.03
1748425051426.000	69.44	-113.68	0.02
1748425051437.000	61.30	-105.35	0.02
1748425051453.000	52.08	-96.05	0.03
1748425051468.000	53.46	-98.53	0.02
1748425051484.000	54.32	-99.37	0.02
1748425051500.000	53.97	-98.94	0.02
1748425051516.000	58.43	-103.97	0.04
1748425051531.000	64.91	-110.81	0.04
1748425051547.000	74.22	-120.63	0.04
1748425051563.000	71.15	-116.54	0.02
1748425051578.000	67.64	-113.17	0.02
1748425051594.000	66.63	-112.57	0.02
1748425051612.000	61.98	-107.67	0.02
1748425051628.000	53.65	-99.01	0.03
1748425051643.000	55.55	-101.99	0.03
1748425051659.000	57.88	-104.45	0.03
1748425051674.000	61.66	-108.48	0.03
1748425051691.000	60.17	-106.57	0.02
1748425051707.000	65.89	-113.17	0.04
1748425051722.000	60.38	-106.65	0.02
1748425051738.000	58.61	-105.33	0.03
1748425051754.000	59.59	-106.68	0.02
1748425051770.000	64.96	-112.64	0.03
1748425051785.000	61.46	-108.37	0.02
1748425051801.000	62.59	-110.09	0.02
1748425051817.000	66.77	-114.74	0.02
1748425051834.000	63.52	-110.88	0.03
1748425051850.000	66.59	-114.75	0.02
1748425051865.000	70.05	-118.45	0.02
1748425051881.000	66.28	-114.12	0.02
1748425051897.000	64.58	-112.77	0.03
1748425051913.000	65.59	-114.21	0.02
1748425051929.000	57.01	-104.74	0.02
1748425051945.000	60.11	-109.11	0.03
1748425051960.000	71.97	-122.06	0.02
1748425051976.000	71.97	-121.10	0.02
1748425051979.000	72.28	-121.66	0.04
1748425051996.000	71.39	-120.86	0.04
1748425052012.000	70.30	-119.96	0.04
1748425052027.000	69.25	-119.11	0.02
1748425052044.000	71.95	-122.39	0.02
1748425052059.000	72.21	-122.64	0.03
